,text,labels_D,labels_T,labels_direct_D,labels_direct_T,labels_indirect_D,labels_indirect_T
0,"Doch in kommerlyke tyden word dit kruid, een weinig geroost, door de menschen ten spyze gebruikt.","[{'span': 'kruid', 'type': 'Plants-Products-Literal'}]","[{'span': 'kruid', 'type': 'Plants-Products-Literal'}]",[],"[{'span': 'kruid', 'type': 'Plants-Organisms-Literal'}]","[{'span': 'kruid', 'type': 'Plants-Products-Literal'}]","[{'span': 'kruid', 'type': 'Plants-Products-Literal'}]"
1,"Al de gedroogde visch, die zich toen op het eiland bevond, werd daar van geheel zwart en onbruikbaar, ja in de twe naastvolgende jaren werden door die assche, of veeleer door de 'er mede vermengde scherpachtige rotsbrokjes of zand, gelyk boven by den brand op Jan Mayen eiland aangemerkt is, zo verre het","[{'span': 'visch', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'visch', 'type': 'Animals-Products-Literal'}]","[{'span': 'gedroogde visch', 'type': 'Animals-Products-Literal'}]","[{'span': 'gedroogde visch', 'type': 'Animals-Products-Literal'}]","[{'span': 'gedroogde', 'type': 'Animals-Products-Literal'}, {'span': 'visch', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'visch', 'type': 'Animals-Organisms-Literal'}]"
2,"Als men het Varken, in 't midden aan weeder zyden van de rugge-graad, doorgesneden heeft, zo laat men ieder helft, even onder de schouwder nog eens doorsnyden in de breedte.","[{'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'rugge-graad', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'zyden', 'type': 'Animals-Parts-Literal'}, {'span': 'rugge-graad', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'rugge-graad', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}]","[{'span': 'Varken', 'type': 'Animals-Organisms-Literal'}, {'span': 'rugge-graad', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwder', 'type': 'Animals-Parts-Literal'}]","[{'span': 'varken', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'varken', 'type': 'Animals-Organisms-Literal'}]"
3,"Het gerookt vleesch moet ook acht dagen in het zout leggen, en dan in zakken genaait in de rook gehangen worden, en moet drie of wel vier maanden rooken.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'gerookt', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]"
4,"Zouten van Spek, Hammen en Ossen-Vleesch, hoe daar mede te handelen.","[{'span': 'Spek', 'type': 'Animals-Products-Literal'}, {'span': 'Hammen', 'type': 'Animals-Products-Literal'}, {'span': 'Ossen-Vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'Spek', 'type': 'Animals-Products-Literal'}, {'span': 'Hammen', 'type': 'Animals-Products-Literal'}, {'span': 'Ossen-Vleesch', 'type': 'Animals-Products-Literal'}]",[],[],"[{'span': 'spek', 'type': 'Animals-Products-Literal'}, {'span': 'hammen', 'type': 'Animals-Products-Literal'}, {'span': 'ossen', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'spek', 'type': 'Animals-Products-Literal'}, {'span': 'hammen', 'type': 'Animals-Products-Literal'}, {'span': 'ossen', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}]"
5,"Dan legt men alles aldus in de kuip om in order te gebruiken: 1. de 6 klapstukken van de buik onder in, want ze konnen het langste duuren: 2. de staartstukken: 3. de schouwderbladeren: 4. de twee borststukken: 5. de twee beste ribben: 6. de vier andere ribben: de twee ongeschikte ribben die by de
schouwders zitten: 7. de huspot zo men wil boven op; maar men moet zorg dragen dat de stukken wel vast in malkanderen sluiten, en de openingen moeten met zout gevuld worden, en wat zout 'er boven op, en eerst onder op den bodem gespreid; ook moet de kuip eerst schoon uitgebroeid en met kruidnagels gedroogt worden.","[{'span': 'klapstukken', 'type': 'Animals-Products-Literal'}, {'span': 'buik', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Products-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Products-Literal'}, {'span': 'borststukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'schouwders', 'type': 'Animals-Parts-Literal'}, {'span': 'kruidnagels', 'type': 'Plants-Products-Literal'}]","[{'span': 'klapstukken', 'type': 'Animals-Products-Literal'}, {'span': 'buik', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Products-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Products-Literal'}, {'span': 'borststukken', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'ribben', 'type': 'Animals-Products-Literal'}, {'span': 'schouwders', 'type': 'Animals-Parts-Literal'}, {'span': 'kruidnagels', 'type': 'Plants-Products-Literal'}]",[],"[{'span': 'buik', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Parts-Literal'}, {'span': 'borststukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'huspots', 'type': 'Animals-Collective-Literal'}, {'span': 'kruidnagels', 'type': 'Plants-Products-Literal'}]","[{'span': 'buik', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Parts-Literal'}, {'span': 'borststukken', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}]","[{'span': 'buik', 'type': 'Animals-Parts-Literal'}, {'span': 'staartstukken', 'type': 'Animals-Parts-Literal'}, {'span': 'schouwderbladeren', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}, {'span': 'ribben', 'type': 'Animals-Parts-Literal'}]"
6,"Dit alles te zaamen in een groote pan of styfsel-kom of hakkebord gedaan, en 6 tinne kommetjes met Osse-vleesch-nat of ander vleesch-nat, of warm water daar op gegooten en digt toegedekt en altemets eens omgeroert.
en zo een nagt over, op de warme plaat laaten staan weken; en dan stopt men ze gelyk Leverbeulingen; dog om dat de gort sterk zwelt maar half vol, en dan zynze half vol als men ze plat duuwt: Als ze gestopt zyn laat men ze zeer zagt kooken dat het water maar even beweegt omtrent een half uurtje, en men prikt ze ondertussen met een doorntje om niet te barsten en uittekooken, en dan zyn ze heel goed.
4.","[{'span': 'Osse-vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'Leverbeulingen', 'type': None}, {'span': 'gort', 'type': 'Plants-Products-Literal'}]","[{'span': 'Leverbeulingen', 'type': 'Animals-Products-Literal'}, {'span': 'gort', 'type': 'Plants-Products-Literal'}, {'span': 'doorntje', 'type': 'Plants-Products-Literal'}]","[{'span': 'Osse-vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'Leverbeulingen', 'type': 'Animals-Products-Literal'}]","[{'span': 'Osse-vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch-nat', 'type': 'Animals-Products-Literal'}, {'span': 'Leverbeulingen', 'type': 'Animals-Products-Literal'}, {'span': 'doorntje', 'type': 'Plants-Parts-Literal'}]","[{'span': 'osse', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'leverbeulingen', 'type': 'Animals-Parts-Literal'}, {'span': 'gort', 'type': 'Plants-Products-Literal'}]","[{'span': 'osse', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'gort', 'type': 'Plants-Products-Literal'}]"
7,"En schoon veele staande houden dat het eeten van dit vleesch geen quaad aan de menschen doedt, zo zyn fatsoendelyke lieden nogtans beschroomd om het te gebruiken: om dit met zeekerheid te weeten zo kan men daar deeze proeve van neemen.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]"
8,"§. XXXI. De Koemelk word tot artzeny gebruikt. De Melk is de voornaamste artzeny der Yslanders, en word daarom ook, zodra zy van de koe koomt, door gene anderen, dan alleen kranken, genoten.","[{'span': 'Koemelk', 'type': 'Animals-Products-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'koe', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Koemelk', 'type': 'Animals-Products-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'koe', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Koemelk', 'type': 'Animals-Products-Literal'}, {'span': 'Melk', 'type': 'Animals-Products-Literal'}, {'span': 'koe', 'type': 'Animals-Organisms-Literal'}]",[],"[{'span': 'koemelk', 'type': 'Plants-Products-Literal'}, {'span': 'melk', 'type': 'Plants-Products-Literal'}, {'span': 'koe', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'koemelk', 'type': 'Plants-Products-Literal'}, {'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'koe', 'type': 'Animals-Organisms-Literal'}]"
9,"Die het beter willen maken, en 'er de middelen toe hebben, kopen een weinig zout, snyden, als het ge-slagt dier noch onafgehakt hangt, op drie of vier plaatsen een diepe snede in het vleesch, en doen in iedere opening een kleine hand vol zout, zich verbeeldende, dat het dus zelf, zo veel nodig is, door het gantsche beest trekt, en het vleesch, wanneer 'er vervolgens wind en rook by koomt, zeer wel bewaard word Op de beide gezegde wyzen handelen de ingezetenen ook met het schapenvleesch, als zy het voor hun huisgezin slagten.","[{'span': 'dier', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beest', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'dier', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Parts-Literal'}, {'span': 'beest', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Parts-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'ge-slagt dier', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Parts-Literal'}, {'span': 'beest', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Parts-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Parts-Literal'}]","[{'span': 'ge-slagt dier', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beest', 'type': 'Animals-Organisms-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}, {'span': 'huisgezin slagten', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'dier', 'type': 'Animals-Collective-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beest', 'type': 'Animals-Collective-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'zout', 'type': 'Plants-Products-Literal'}, {'span': 'dier', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beest', 'type': 'Animals-Organisms-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvleesch', 'type': 'Animals-Products-Literal'}]"
