Method,hum1,hum2,direct_no_demo,direct_demo1,direct_demo2,indirect1,indirect2
hum1,1.0000,0.5858,0.4041,0.4989,0.4306,0.4466,0.4468
±,0.0000,0.0000,0.0721,0.0539,0.0243,0.0680,0.0361
hum2,0.5858,1.0000,0.3182,0.3920,0.3980,0.4144,0.3954
±,0.0000,0.0000,0.0430,0.0453,0.0508,0.0665,0.0294
direct_no_demo,0.4041,0.3182,0.5970,0.5275,0.5392,0.3629,0.3970
±,0.0721,0.0430,0.2088,0.0927,0.0940,0.0543,0.0492
direct_demo1,0.4989,0.3920,0.5275,0.8031,0.6574,0.4581,0.4951
±,0.0539,0.0453,0.0927,0.1131,0.0730,0.0772,0.0374
direct_demo2,0.4306,0.3980,0.5392,0.6574,0.7548,0.4326,0.4707
±,0.0243,0.0508,0.0940,0.0730,0.1346,0.0534,0.0435
indirect1,0.4466,0.4144,0.3629,0.4581,0.4326,0.6120,0.5692
±,0.0680,0.0665,0.0543,0.0772,0.0534,0.2127,0.1164
indirect2,0.4468,0.3954,0.3970,0.4951,0.4707,0.5692,0.7497
±,0.0361,0.0294,0.0492,0.0374,0.0435,0.1164,0.1882
