Metric,T_hum,D_hum,T_llm,D_llm,T_LLMaAA,D_LLLMaAA
"
MICRO AVG"
T_hum,1.0000,0.9851,0.9491,0.9537,0.9619,0.9648
D_hum,0.9851,1.0000,0.9541,0.9580,0.9633,0.9676
T_llm,0.9491,0.9541,1.0000,0.9694,0.9530,0.9566
D_llm,0.9537,0.9580,0.9694,1.0000,0.9498,0.9530
T_LLMaAA,0.9619,0.9633,0.9530,0.9498,1.0000,0.9819
D_LLLMaAA,0.9648,0.9676,0.9566,0.9530,0.9819,1.0000
"
MACRO AVG"
T_hum,1.0000,0.5858,0.2817,0.4600,0.3696,0.4381
D_hum,0.5858,1.0000,0.3534,0.4831,0.4642,0.5273
T_llm,0.2817,0.3534,1.0000,0.4999,0.3740,0.3516
D_llm,0.4600,0.4831,0.4999,1.0000,0.3636,0.3828
T_LLMaAA,0.3696,0.4642,0.3740,0.3636,1.0000,0.6236
D_LLLMaAA,0.4381,0.5273,0.3516,0.3828,0.6236,1.0000
"
MICRO AVG (FILTERED)"
T_hum,1.0000,0.8146,0.3284,0.4312,0.5444,0.5532
D_hum,0.8146,1.0000,0.3813,0.4651,0.5749,0.5912
T_llm,0.3284,0.3813,1.0000,0.5279,0.4361,0.4591
D_llm,0.4312,0.4651,0.5279,1.0000,0.3970,0.4109
T_LLMaAA,0.5444,0.5749,0.4361,0.3970,1.0000,0.7951
D_LLLMaAA,0.5532,0.5912,0.4591,0.4109,0.7951,1.0000
