Method,hum1,hum2,direct_no_demo,direct_demo1,direct_demo2,indirect1,indirect2
hum1,1.0000,0.9849,0.9483,0.9678,0.9674,0.9631,0.9646
±,0.0000,0.0000,0.0030,0.0015,0.0020,0.0036,0.0012
hum2,0.9852,1.0000,0.9450,0.9653,0.9686,0.9614,0.9631
±,0.0000,0.0000,0.0026,0.0019,0.0023,0.0024,0.0008
direct_no_demo,0.9570,0.9550,0.9741,0.9677,0.9663,0.9568,0.9579
±,0.0049,0.0050,0.0141,0.0025,0.0026,0.0034,0.0034
direct_demo1,0.9631,0.9623,0.9592,0.9877,0.9811,0.9634,0.9653
±,0.0027,0.0030,0.0060,0.0063,0.0033,0.0030,0.0024
direct_demo2,0.9627,0.9650,0.9570,0.9806,0.9860,0.9639,0.9659
±,0.0030,0.0029,0.0050,0.0031,0.0076,0.0025,0.0026
indirect1,0.9604,0.9610,0.9458,0.9643,0.9653,0.9813,0.9790
±,0.0038,0.0028,0.0057,0.0034,0.0031,0.0101,0.0033
indirect2,0.9622,0.9626,0.9478,0.9663,0.9675,0.9789,0.9842
±,0.0018,0.0016,0.0055,0.0023,0.0027,0.0035,0.0081
