Method,hum1,hum2,direct_no_demo,direct_demo1,direct_demo2,indirect1,indirect2
hum1,1.0000,0.8483,0.4595,0.6653,0.6514,0.6016,0.6262
±,0.0000,0.0000,0.0421,0.0264,0.0227,0.0515,0.0242
hum2,0.8332,1.0000,0.4412,0.6319,0.6584,0.5689,0.5959
±,0.0000,0.0000,0.0400,0.0264,0.0269,0.0297,0.0171
direct_no_demo,0.5456,0.5206,0.7352,0.7991,0.7975,0.6236,0.6549
±,0.0629,0.0856,0.1572,0.0410,0.0418,0.0422,0.0484
direct_demo1,0.5939,0.5842,0.6258,0.9039,0.8487,0.6855,0.7147
±,0.0256,0.0341,0.0869,0.0523,0.0380,0.0374,0.0281
direct_demo2,0.5738,0.6002,0.6090,0.8323,0.8822,0.6624,0.6947
±,0.0212,0.0249,0.0756,0.0290,0.0650,0.0309,0.0310
indirect1,0.5481,0.5489,0.4828,0.6927,0.6805,0.8099,0.7998
±,0.0524,0.0330,0.0718,0.0419,0.0428,0.1163,0.0553
indirect2,0.5753,0.5785,0.5099,0.7218,0.7149,0.7976,0.8555
±,0.0277,0.0139,0.0746,0.0328,0.0400,0.0589,0.0773
